id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_12_backward,"[source_system:部品SAP] [source_table:MARA
MARM] [source_field:BREIT
BREIT] [source_description:横の長さ
MARA：部品単体
MARM：集合包装、外装、パレット]",部品SAP,"MARA
MARM","BREIT
BREIT","横の長さ
MARA：部品単体
MARM：集合包装、外装、パレット",RM061,SSYMSPUHBA,正味寸法（幅）
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_13_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:SSYMSPUDEP] [source_description:正味寸法（奥行き）],倉庫システム,RM061,SSYMSPUDEP,正味寸法（奥行き）,"MARA
MARM","LAENG
LAENG","縦の長さ
MARA：部品単体
MARM：集合包装、外装、パレット"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_13_backward,"[source_system:部品SAP] [source_table:MARA
MARM] [source_field:LAENG
LAENG] [source_description:縦の長さ
MARA：部品単体
MARM：集合包装、外装、パレット]",部品SAP,"MARA
MARM","LAENG
LAENG","縦の長さ
MARA：部品単体
MARM：集合包装、外装、パレット",RM061,SSYMSPUDEP,正味寸法（奥行き）
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_14_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:SSYMGYU] [source_description:正味重量],倉庫システム,RM061,SSYMGYU,正味重量,MARA,NTGEW,正味重量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_14_backward,[source_system:部品SAP] [source_table:MARA] [source_field:NTGEW] [source_description:正味重量],部品SAP,MARA,NTGEW,正味重量,RM061,SSYMGYU,正味重量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_15_forward,[source_system:倉庫システム] [source_table:RM061] [source_field:SHSOGYU] [source_description:包装重量],倉庫システム,RM061,SHSOGYU,包装重量,"MARA
MARM","BRGEW
BRGEW","総重量
MARA：個装重量（単体重量＋風袋重量）
MARM：集合包装、外装、パレットの総重量"
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000111(管理番号10128)_インタフェース項目定義書_ト・パ基本情報更新データ_R0.81.xlsx_15_backward,"[source_system:部品SAP] [source_table:MARA
MARM] [source_field:BRGEW
BRGEW] [source_description:総重量
MARA：個装重量（単体重量＋風袋重量）
MARM：集合包装、外装、パレットの総重量]",部品SAP,"MARA
MARM","BRGEW
BRGEW","総重量
MARA：個装重量（単体重量＋風袋重量）
MARM：集合包装、外装、パレットの総重量",RM061,SHSOGYU,包装重量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_9_forward,[source_system:倉庫システム] [source_table:] [source_field:BCAS1] [source_description:ケース№１],倉庫システム,,BCAS1,ケース№１,VEKP,EXIDV,外部荷役単位ID
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_9_backward,[source_system:部品SAP] [source_table:VEKP] [source_field:EXIDV] [source_description:外部荷役単位ID],部品SAP,VEKP,EXIDV,外部荷役単位ID,,BCAS1,ケース№１
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_14_forward,[source_system:倉庫システム] [source_table:] [source_field:BSYR] [source_description:出荷連絡№],倉庫システム,,BSYR,出荷連絡№,VEPO,VBELN,出荷伝票
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_14_backward,[source_system:部品SAP] [source_table:VEPO] [source_field:VBELN] [source_description:出荷伝票],部品SAP,VEPO,VBELN,出荷伝票,,BSYR,出荷連絡№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_15_forward,[source_system:倉庫システム] [source_table:] [source_field:BSYRGYO] [source_description:出荷連絡行番号],倉庫システム,,BSYRGYO,出荷連絡行番号,VEPO,POSNR,出荷伝票明細
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_15_backward,[source_system:部品SAP] [source_table:VEPO] [source_field:POSNR] [source_description:出荷伝票明細],部品SAP,VEPO,POSNR,出荷伝票明細,,BSYRGYO,出荷連絡行番号
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_18_forward,[source_system:倉庫システム] [source_table:] [source_field:SKOP] [source_description:梱包数],倉庫システム,,SKOP,梱包数,VEPO,VEMNG,梱包済数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000114(管理番号10113)_インタフェース項目定義書_輸出梱包情報_R0.81.xlsx_18_backward,[source_system:部品SAP] [source_table:VEPO] [source_field:VEMNG] [source_description:梱包済数量],部品SAP,VEPO,VEMNG,梱包済数量,,SKOP,梱包数
